OrderID,OrderDate,CustomerID,Age,Gender,AnnualIncome,CustomerSegment,City,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,DiscountPercent,TotalPrice,PaymentType,DeviceType,OrderStatus,CampaignID,CampaignName,Channel,TotalSpend,Country,ReviewSentiment,ProductRating
O100000,2023-04-04,C1228,30,Female,154011,Premium,Mumbai,112,Blender,Home & Kitchen,Appliances,1,1041.48,0,1041.48,Credit Card,Desktop,Delivered,CAM05,Content Marketing,Organic,2000,India,,
O100001,2024-08-25,C1563,55,Female,137834,Standard,Delhi,104,Running Shoes,Apparel,Footwear,1,843.1,0,843.1,Debit Card,Desktop,Delivered,CAM04,Partner Promo,Affiliate,8000,India,Neutral,3.0
O100002,2023-09-21,C1457,19,Male,35344,Standard,Bengaluru,112,Blender,Home & Kitchen,Appliances,1,105.49,0,105.49,Debit Card,Mobile,Delivered,CAM03,Search Ads,PPC,20000,India,,
O100003,2023-07-02,C1209,57,Female,194000,Budget,Kolkata,103,Yoga Mat,Sports,Fitness,1,527.08,0,527.08,Wallet,Desktop,Delivered,CAM01,Spring Sale,Email,5000,India,Positive,4.0
O100004,2023-02-03,C1178,19,Male,72893,Loyal,Kolkata,102,Smartphone Case,Electronics,Accessories,2,1000.97,0,2001.94,Wallet,Desktop,Delivered,CAM04,Partner Promo,Affiliate,8000,India,,
O100005,2023-02-03,C1864,46,Female,157251,Premium,Mumbai,102,Smartphone Case,Electronics,Accessories,1,2027.28,0,2027.28,Credit Card,Mobile,Cancelled,CAM01,Spring Sale,Email,5000,India,,
O100006,2023-01-12,C1061,27,Male,161154,Premium,Pune,107,Gaming Mouse,Electronics,Accessories,1,1566.1,0,1566.1,Credit Card,Desktop,Delivered,CAM06,Refer a Friend,Referral,1500,India,Positive,5.0
O100007,2024-02-07,C1447,19,Male,192946,Premium,Bengaluru,103,Yoga Mat,Sports,Fitness,1,805.01,0,805.01,Debit Card,Mobile,Delivered,CAM03,Search Ads,PPC,20000,India,,
O100008,2023-07-03,C2034,46,Male,198011,Standard,Kolkata,111,T-shirt,Apparel,Clothing,1,708.47,0,708.47,Wallet,Tablet,Delivered,CAM01,Spring Sale,Email,5000,India,Positive,4.0
O100009,2023-09-04,C1054,21,Female,185821,Loyal,Kolkata,101,Wireless Earbuds,Electronics,Audio,1,1517.72,0,1517.72,Wallet,Mobile,Delivered,CAM05,Content Marketing,Organic,2000,India,,
O100010,2023-01-05,C1407,27,Female,148180,Budget,Chennai,105,Coffee Maker,Home & Kitchen,Appliances,1,1242.47,0,1242.47,Wallet,Tablet,Delivered,CAM04,Partner Promo,Affiliate,8000,India,Neutral,3.0
O100011,2024-12-01,C1859,46,Female,26528,Budget,Hyderabad,110,Backpack,Apparel,Bags,1,681.5,0,681.5,Debit Card,Desktop,Delivered,CAM03,Search Ads,PPC,20000,India,Positive,5.0
O100012,2023-12-24,C1919,33,Female,84519,Standard,Delhi,107,Gaming Mouse,Electronics,Accessories,1,1790.13,0,1790.13,Wallet,Desktop,Delivered,CAM01,Spring Sale,Email,5000,India,Positive,4.0
O100013,2023-02-17,C1569,32,Male,165594,Standard,Hyderabad,103,Yoga Mat,Sports,Fitness,2,1144.79,0,2289.58,Credit Card,Mobile,Returned,CAM06,Refer a Friend,Referral,1500,India,,
O100014,2023-02-10,C1326,48,Male,15037,Standard,Pune,102,Smartphone Case,Electronics,Accessories,1,1427.14,0,1427.14,NetBanking,Mobile,Delivered,CAM02,Influencer Push,Social,12000,India,,
O100015,2023-02-10,C1696,32,Female,72813,Standard,Kolkata,107,Gaming Mouse,Electronics,Accessories,2,2150.83,0,4301.66,UPI,Mobile,Delivered,CAM06,Refer a Friend,Referral,1500,India,Neutral,3.0
O100016,2023-03-14,C1318,26,Female,95720,Premium,Mumbai,112,Blender,Home & Kitchen,Appliances,1,1097.98,0,1097.98,Debit Card,Mobile,Delivered,CAM01,Spring Sale,Email,5000,India,,
O100017,2023-05-29,C1689,44,Male,38671,Loyal,Hyderabad,107,Gaming Mouse,Electronics,Accessories,1,1548.13,0,1548.13,Credit Card,Tablet,Returned,CAM01,Spring Sale,Email,5000,India,,
O100018,2023-04-24,C1189,43,Male,155548,Standard,Hyderabad,106,"LED Monitor 24""",Electronics,Monitors,1,1585.04,0,1585.04,NetBanking,Desktop,Delivered,CAM05,Content Marketing,Organic,2000,India,,
O100019,2023-03-10,C1198,32,Male,45177,Loyal,Hyderabad,110,Backpack,Apparel,Bags,2,398.04,15,676.67,UPI,Mobile,Delivered,CAM02,Influencer Push,Social,12000,India,,
O100020,2023-07-09,C1704,35,Male,54220,Budget,Bengaluru,102,Smartphone Case,Electronics,Accessories,1,1395.29,0,1395.29,Wallet,Mobile,Delivered,CAM04,Partner Promo,Affiliate,8000,India,,
O100021,2023-01-31,C1541,37,Female,46568,Standard,Mumbai,109,Water Bottle,Sports,Accessories,1,1814.49,0,1814.49,Credit Card,Mobile,Returned,CAM05,Content Marketing,Organic,2000,India,,
O100022,2023-03-11,C1940,20,Female,200041,Standard,Delhi,102,Smartphone Case,Electronics,Accessories,1,1273.37,0,1273.37,Wallet,Mobile,Delivered,CAM01,Spring Sale,Email,5000,India,,
O100023,2023-04-02,C1255,28,Female,226951,Budget,Chennai,101,Wireless Earbuds,Electronics,Audio,2,2408.87,0,4817.74,NetBanking,Desktop,Delivered,CAM05,Content Marketing,Organic,2000,India,,
O100024,2023-05-02,C1161,33,Female,79610,Standard,Chennai,110,Backpack,Apparel,Bags,1,464.22,0,464.22,Wallet,Tablet,Delivered,CAM06,Refer a Friend,Referral,1500,India,Positive,4.0
O100025,2023-11-04,C1600,56,Female,92442,Standard,Bengaluru,105,Coffee Maker,Home & Kitchen,Appliances,1,652.48,0,652.48,Wallet,Desktop,Delivered,CAM05,Content Marketing,Organic,2000,India,Positive,4.0
O100026,2023-02-14,C1740,51,Female,100053,Premium,Pune,110,Backpack,Apparel,Bags,1,1238.78,0,1238.78,Wallet,Mobile,Delivered,CAM04,Partner Promo,Affiliate,8000,India,Positive,5.0
O100027,2023-05-25,C1393,26,Female,26351,Standard,Pune,110,Backpack,Apparel,Bags,1,1376.61,0,1376.61,Credit Card,Mobile,Cancelled,CAM03,Search Ads,PPC,20000,India,,
O100028,2023-06-29,C1093,55,Female,162937,Loyal,Mumbai,105,Coffee Maker,Home & Kitchen,Appliances,1,1461.17,0,1461.17,Debit Card,Desktop,Delivered,CAM02,Influencer Push,Social,12000,India,,
O100029,2023-01-10,C1592,29,Male,145833,Standard,Bengaluru,103,Yoga Mat,Sports,Fitness,1,1631.11,0,1631.11,Credit Card,Mobile,Delivered,CAM04,Partner Promo,Affiliate,8000,India,Positive,4.0
O100030,2023-07-07,C1476,41,Female,159980,Loyal,Hyderabad,105,Coffee Maker,Home & Kitchen,Appliances,1,519.53,0,519.53,Credit Card,Mobile,Delivered,CAM01,Spring Sale,Email,5000,India,Positive,5.0
O100031,2023-02-07,C1778,19,Male,42007,Loyal,Mumbai,110,Backpack,Apparel,Bags,1,571.14,0,571.14,UPI,Mobile,Cancelled,CAM06,Refer a Friend,Referral,1500,India,,
O100032,2023-01-14,C1928,52,Male,59871,Loyal,Hyderabad,101,Wireless Earbuds,Electronics,Audio,1,2030.17,0,2030.17,UPI,Mobile,Delivered,CAM05,Content Marketing,Organic,2000,India,,
O100033,2024-08-17,C1333,32,Female,49600,Standard,Delhi,112,Blender,Home & Kitchen,Appliances,2,1135.63,0,2271.26,UPI,Desktop,Delivered,CAM04,Partner Promo,Affiliate,8000,India,Positive,5.0
O100034,2024-11-05,C1727,56,Female,81720,Standard,Mumbai,109,Water Bottle,Sports,Accessories,2,941.2,0,1882.4,Debit Card,Mobile,Delivered,CAM01,Spring Sale,Email,5000,India,,
O100035,2023-11-27,C1546,31,Male,184845,Premium,Hyderabad,107,Gaming Mouse,Electronics,Accessories,1,809.51,0,809.51,Credit Card,Mobile,Delivered,CAM02,Influencer Push,Social,12000,India,,
O100036,2023-03-14,C1350,32,Male,179329,Budget,Pune,110,Backpack,Apparel,Bags,1,337.03,15,286.48,Wallet,Mobile,Delivered,CAM04,Partner Promo,Affiliate,8000,India,Positive,4.0
O100037,2023-01-21,C1501,41,Female,228896,Standard,Kolkata,103,Yoga Mat,Sports,Fitness,1,59.87,0,59.87,Debit Card,Desktop,Delivered,CAM04,Partner Promo,Affiliate,8000,India,Negative,2.0
O100038,2023-08-19,C1946,32,Male,173775,Premium,Mumbai,111,T-shirt,Apparel,Clothing,1,987.26,0,987.26,NetBanking,Mobile,Delivered,CAM03,Search Ads,PPC,20000,India,Negative,2.0
O100039,2023-04-27,C1552,21,Male,126417,Budget,Kolkata,104,Running Shoes,Apparel,Footwear,1,902.9,5,857.75,Wallet,Desktop,Delivered,CAM03,Search Ads,PPC,20000,India,Positive,4.0
O100040,2023-01-27,C1449,36,Male,46533,Budget,Delhi,101,Wireless Earbuds,Electronics,Audio,1,2006.34,15,1705.39,UPI,Mobile,Delivered,CAM03,Search Ads,PPC,20000,India,,
O100041,2023-05-17,C1114,44,Female,123154,Budget,Mumbai,101,Wireless Earbuds,Electronics,Audio,1,1431.58,10,1288.42,Debit Card,Desktop,Delivered,CAM02,Influencer Push,Social,12000,India,Positive,5.0
O100042,2023-01-07,C1065,28,Female,225718,Standard,Pune,102,Smartphone Case,Electronics,Accessories,1,2044.64,5,1942.41,UPI,Mobile,Delivered,CAM06,Refer a Friend,Referral,1500,India,Neutral,3.0
